cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgwfdFPNlZTokIqMauR4AaABAg,i needed this. praise kier.,13 days ago,@stefannnymartinez,UCA4v7XZD-bMitJo_eGocUrg,49,1,https://yt3.ggpht.com/3AeNFveSiCFM5m_aDuYy6IgfPh5V54Ev3-Hb0ShrU9RzcHBYxCrs0AxkJL0VC5RTVjQzk6uSCA=s88-c-k-c0x00ffffff-no-rj,False,False,1740597561.221387
UgykkuI809GchE8rPZd4AaABAg,G E N I A L !,13 days ago,@Motivado-gp,UCYW0t4l2Q31dAjqwH7tc5Ng,1,,https://yt3.ggpht.com/mUn_zV1EhwmvkxzifhCOJcBaBuK67ruo2Km9efK_kYUUHdmqJeSKRG9M4qjStl7WPwvF3QIyNQ8=s88-c-k-c0x00ffffff-no-rj,False,False,1740597561.222204
UgxMyygVle5t2wnFeep4AaABAg,Add a playlist on spotify,13 days ago,@zoom2436,UCkXQJgVOlxh-v5bpwinkMOA,6,,https://yt3.ggpht.com/ytc/AIdro_nJVY_Gp71hfGbweEXduf3E3x2V1xKlJ1nMzNPwZT4S8g=s88-c-k-c0x00ffffff-no-rj,False,False,1740597561.222973
UgwZX8FGbJ7XDSoVFNF4AaABAg,It's 8 hours............get......it? Like a working day,13 days ago,@JohnnyQuach,UCaBe-AbqN1ZR19dObdHMJRg,13,2,https://yt3.ggpht.com/ytc/AIdro_nLC6W5gfZ9ERi9eAZLvioJjMB00vhwpf84j4R2jIJ--3R0=s88-c-k-c0x00ffffff-no-rj,False,False,1740597561.223728
UgwR_n6Hr4zjcPyTU2F4AaABAg,Please try to enjoy each beat equally,13 days ago,@sevhatake,UCWm9om9VWnqnZ9bBxmMStWg,10,,https://yt3.ggpht.com/HFGaZez0MS1Hj4Zkg1kFzV3Gns7zi2dfqJXbszUIKhwAtoDED6EAxGlA9EUZYz_1UBOTuF4G0S8=s88-c-k-c0x00ffffff-no-rj,False,False,1740597561.224482
UgyZ-alEnWxVaYCixOF4AaABAg,is this a loop or are there beats that they just repeat I can't tell,13 days ago,@jakereishus3250,UCW9Qyry9tWZvtyEd4Ah9nvw,1,,https://yt3.ggpht.com/ytc/AIdro_nXk-IzTQTsXaVCQGdzq-ijr0vvXVeQhRviwzVG575PdA=s88-c-k-c0x00ffffff-no-rj,False,False,1740597561.225254
UgxzdSCxpDg1x3HvoIF4AaABAg.AF-OwA6qWT7AF-RJmS4yv7,"its apple's exclusive maybe sooner or later. watch the show, its amazing",13 days ago,@amaraaaas,UCvy8hP4runXZJReKK141pjA,0,,https://yt3.ggpht.com/-5-lzMeR1NqTZbHeZHo_tm_YDENgJoOzp2gtp1MjfOfUS5uA62opYCAbMMWUdDmJQzSfE2vQ=s88-c-k-c0x00ffffff-no-rj,False,True,1740597561.401141
UgwzeLedhINL6Wi36nF4AaABAg.AF-1iD8gCqEAF1w9Kuuq8p,I have refined for 4 hours straight.,12 days ago,@cococardellini,UCnxHMi289E1NezXGXCdgWIw,0,,https://yt3.ggpht.com/ytc/AIdro_k_iHRN_l0TsKsAqRXBnKvUhZMHXsLhXvCXgVIQHJzdJTRw7Wt_G9XEs4chamQySZQzjQ=s88-c-k-c0x00ffffff-no-rj,False,True,1740683961.587619
UgwfdFPNlZTokIqMauR4AaABAg.AEzyPem64lKAF0T5u5iqXL,Praise kier!,12 days ago,@jennw9327,UCDBqiCls4zuANpXrwZdvYCQ,2,,https://yt3.ggpht.com/srkFKPuJRWgBmM9QaO33ZGjYEEryMRROwAI3cUWmKAZ-SWStz6Z18b3HZUFm0K758-YbXoNF6w=s88-c-k-c0x00ffffff-no-rj,False,True,1740683961.765406
UgwZX8FGbJ7XDSoVFNF4AaABAg.AEzuVjjNJXYAEzy76gwhIr,"REALLY? I would never have worked that out myself, thank you SOOO MUCH for sharing your brilliant insight. Irv B got nothing on you king!",13 days ago,@flake8382,UC0YRB2utJez53q0vETITJjw,0,,https://yt3.ggpht.com/jUcwSJNBZZV4xbrtx-54IVxA0jf22psJOATmfeGrPP8F4DoV-IVrM7FAbXnS6VJ7y3mLVFiGG5k=s88-c-k-c0x00ffffff-no-rj,False,True,1740597561.939286
UgwZX8FGbJ7XDSoVFNF4AaABAg.AEzuVjjNJXYAF-W5iUe5sC, @flake8382  I love you.,13 days ago,@JohnnyQuach,UCaBe-AbqN1ZR19dObdHMJRg,0,,https://yt3.ggpht.com/ytc/AIdro_nLC6W5gfZ9ERi9eAZLvioJjMB00vhwpf84j4R2jIJ--3R0=s88-c-k-c0x00ffffff-no-rj,False,True,1740597561.941913
Ugwe_Wf3ZkzcaSPwKjJ4AaABAg,Feeling a powerful need to vacuum a giant carpet with a tiny manual sweeper rn.,13 days ago,@AlephGrey,UC9q-eXol8rhqXH8sIrUl3MA,11,,https://yt3.ggpht.com/ZDZ4ADl74iS-NNjU0RvbpYrr5tCRYJM5LSv3lJo8nUyxfYFi8nFG2GC5RAniV0CHY8nxMc_DBA=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.19734
UgyaNJ2fJlCmGGsyHxF4AaABAg,The board says this slaps.,13 days ago,@RIGHTNOW108,UCXpjCY_imQc8LE37dcKkKog,27,2,https://yt3.ggpht.com/ytc/AIdro_nFk2_rDPZPDdKN2msnYrp37jrrNvkdNuluhszBmdZN2A=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.198958
Ugxt0UHoQ7h0ods6tmh4AaABAg,OMG those Gemma snippets in the final hour!,13 days ago,@Davelvet,UCeIMelY8_DXeIEYwj5GNHRg,1,,https://yt3.ggpht.com/SheBsLaUji47Cf4Kpl9f6SapJUdtdbf-tBs8jiYxAyt9hPjAN5sTzBKFlL30cgmouWvNSwEQQA=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.200384
Ugwg_1PCMgTRdPWBkhx4AaABAg,"Apple marketing has completely blown my socks off with activations and content for this show - it's been a while, nice!",13 days ago,@Letsdothework,UCMP45EEnfI-bXgCA6SrolDA,89,,https://yt3.ggpht.com/ytc/AIdro_nrb9WoF5uRvq2RKg_ZXQmtxBI9vJQ-rnnyPLZ_6jNVQxqx=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.201668
UgxlPzCOpu94aoPqeQF4AaABAg,"If Netflix took note and put out a bunch of epic material like this for Stranger Things, I might be slightly less salty about it taking approx 73 years to get a new season. I mean can anyone even remember what was happening lmao.",13 days ago,@av0cad0t0ast,UCVCWwz2vmHC2f-Q7Vzn9PhA,3,,https://yt3.ggpht.com/sli9HXFDU-OsGhaF_8anwhGiWEegPu6OdW3KgPMFPpqy8CfiI1RPWVU-j9vNwwRL0jB7hg9qbA=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.202798
UgxWVbB5duc4alN3bGN4AaABAg,Thats going in the study playlist,13 days ago,@ParticularFix,UCVJVYlonNN1F7Yk8DCllTpg,9,,https://yt3.ggpht.com/Gg4yFZhKmMz-oPCUp4vqT6Wm48wadTBhMwfi1nnGt9Uxusj4R43lPqVXEBm3RVNSv5sdS7qL0Q=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.203731
