cid,text,time,author,channel,votes,time_parsed
UgwgwJj0YwRJjkGOW-d4AaABAg,At 2:22 he definitely said wank and not work haha,4 days ago,@Paul-yv4yg,UCp3cWXeVSDiZvOc5Vxv_wXw,0,1741453685.332125
UgxP_tDzseG0PmYJcdx4AaABAg.AFPVtwixmVgAFRmIYNMuxA,Continue d’engraisser tes ytber préféré pleins aux as dans ton 11m2🫵😹,3 days ago,@Azurasmar0,UCGVds5-1K1pNqtVeTxRjlRQ,0,1741536485.531559
Ugxzfv53Qddy_SBr6ah4AaABAg,About the salt I can explain so ill y a une croyance qui provient des pays de l’Est selon laquelle si tu place une petit bol de sel au coin d’une chambre le sel deviendra noir si la chambre est hantée par des mauvais esprits. C’est pas vraiment de la sorcellerie mais plutôt de la superstition je conseille tout de même de pas y toucher. Voili voilouuu 😌,4 days ago,@journalintimeofkate4284,UC1f4qZRx-_NUbexBYqAem1A,0,1741453685.829472
UgwN54nGYGx6Dc2xg4R4AaABAg,The salt under the bed is only for spiritual protection. Nothing alarming here !! It's even a good thing with all the old stuff in that appartement !!,4 days ago,@yunkhan3094,UCODEf5EbPIebs_oUXsI-duQ,0,1741453685.832373
Ugx43q9cAhazw7ouceB4AaABAg,écouté pokimane parlée si bien français me dis que je peux aussi apprendre à parler Anglais,4 days ago,@VORTEX-yj8hk,UCWSFvxqGy6PT4Bxbz9wUVCA,4,1741453685.833139
Ugwk4sE2zEsyLOdwN-Z4AaABAg,Definitely smashed after this,4 days ago,@rottebazooka,UCgn5G1fbHP96sswh-X09uZQ,1,1741453685.833722
Ugz7aKBHQPzlgJRTt0V4AaABAg,Trop mignon tout ça !!!!!!,4 days ago,@Naïlys_91322,UCsov7K9lbrzNqPXls7c7GKw,0,1741453685.834286
UgwbMLvEG3LHwU9bTON4AaABAg,13:04 ils sont trop mims je pense que vous êtes un duo hyper bien (pas amoureux)❤,4 days ago,@5mariacyrine5,UCITOEoc75X8ittZIucPhPMg,0,1741453685.834824
Ugz-gz8E882poLowKip4AaABAg,2min in already love that guy,4 days ago,@mrwatermelo50,UC7Fp4QHf_HmBFzKyyTWUZZg,21,1741453685.835987
UgzsfMNlLtQ4kU3rQ1V4AaABAg,I discovered poki through amine and you two together bring such a calming and fun vibe and i love that!,4 days ago,@evambz,UCXBx4WaXfUqKwdyWiDkR9PQ,5,1741453685.8368
UgyxBszLNmfhwuDtew14AaABAg,Amine qui ne se sent pas à sa place 🤣,4 days ago,@mickaelboissard2681,UCfotNiKMwLy319AY2pyK8XQ,0,1741453685.837365
UgxglqqrhWrtIJpoDrt4AaABAg,"j'ai TROP aimé, PLUS DE VIDÉO AVEC AMINE SVPPPPPP! ;(",4 days ago,@grymzzygames9689,UCyN2oFUJCb_p8KQB5K-U9UQ,2,1741453685.83791
